CMDLINE python main.py
MEM 119.570312 1760682180.5786
CHLD 40864 49.320312 1760682180.5908
CHLD 40865 0.000000 1760682180.5909
MEM 119.570312 1760682180.7028
CHLD 40864 49.320312 1760682180.7138
CHLD 40865 0.000000 1760682180.7138
MEM 119.570312 1760682180.8258
CHLD 40864 49.320312 1760682180.8367
CHLD 40865 0.000000 1760682180.8367
MEM 119.570312 1760682180.9603
CHLD 40864 49.320312 1760682180.9825
CHLD 40865 0.000000 1760682180.9826
MEM 119.593750 1760682181.0948
CHLD 40864 49.343750 1760682181.1073
CHLD 40865 0.000000 1760682181.1073
MEM 119.593750 1760682181.2201
CHLD 40864 49.343750 1760682181.2327
CHLD 40865 0.000000 1760682181.2328
MEM 119.593750 1760682181.3450
CHLD 40864 49.343750 1760682181.3574
CHLD 40865 0.000000 1760682181.3575
MEM 119.593750 1760682181.4695
CHLD 40864 49.343750 1760682181.4818
CHLD 40865 0.000000 1760682181.4818
MEM 119.609375 1760682181.6062
CHLD 40864 49.359375 1760682181.6306
CHLD 40865 0.000000 1760682181.6306
MEM 119.609375 1760682181.7457
CHLD 40864 49.359375 1760682181.7592
CHLD 40865 0.000000 1760682181.7593
MEM 119.609375 1760682181.8745
CHLD 40864 49.359375 1760682181.8887
CHLD 40865 0.000000 1760682181.8887
MEM 119.625000 1760682182.0025
CHLD 40864 49.375000 1760682182.0130
CHLD 40865 0.000000 1760682182.0131
MEM 119.625000 1760682182.1259
CHLD 40864 49.375000 1760682182.1382
CHLD 40865 0.000000 1760682182.1383
MEM 119.625000 1760682182.2506
CHLD 40864 49.375000 1760682182.2631
CHLD 40865 0.000000 1760682182.2632
MEM 119.625000 1760682182.3749
CHLD 40864 49.375000 1760682182.3862
CHLD 40865 0.000000 1760682182.3863
MEM 119.625000 1760682182.4998
CHLD 40864 49.375000 1760682182.5101
CHLD 40865 0.000000 1760682182.5101
MEM 119.625000 1760682182.6228
CHLD 40864 49.375000 1760682182.6362
CHLD 40865 0.000000 1760682182.6363
MEM 119.625000 1760682182.7484
CHLD 40864 49.375000 1760682182.7591
CHLD 40865 0.000000 1760682182.7592
MEM 119.625000 1760682182.8729
CHLD 40864 49.375000 1760682182.8849
CHLD 40865 0.000000 1760682182.8850
MEM 119.625000 1760682182.9987
CHLD 40864 49.375000 1760682183.0100
CHLD 40865 0.000000 1760682183.0101
MEM 119.625000 1760682183.1219
CHLD 40864 49.375000 1760682183.1346
CHLD 40865 0.000000 1760682183.1347
MEM 119.625000 1760682183.2466
CHLD 40864 49.375000 1760682183.2592
CHLD 40865 0.000000 1760682183.2592
MEM 119.625000 1760682183.3718
CHLD 40864 49.375000 1760682183.3830
CHLD 40865 0.000000 1760682183.3830
MEM 119.640625 1760682183.4960
CHLD 40864 49.390625 1760682183.5082
CHLD 40865 0.000000 1760682183.5083
MEM 119.640625 1760682183.6210
CHLD 40864 49.390625 1760682183.6342
CHLD 40865 0.000000 1760682183.6343
MEM 119.640625 1760682183.7586
CHLD 40864 49.390625 1760682183.7737
CHLD 40865 0.000000 1760682183.7738
MEM 119.640625 1760682183.8928
CHLD 40864 49.390625 1760682183.9121
CHLD 40865 0.000000 1760682183.9122
MEM 119.640625 1760682184.0266
CHLD 40864 49.402344 1760682184.0376
CHLD 40865 0.000000 1760682184.0377
MEM 119.652344 1760682184.1626
CHLD 40864 49.402344 1760682184.1785
CHLD 40865 0.000000 1760682184.1786
MEM 119.652344 1760682184.2910
CHLD 40864 49.402344 1760682184.3016
CHLD 40865 0.000000 1760682184.3016
MEM 119.652344 1760682184.4136
CHLD 40864 49.402344 1760682184.4250
CHLD 40865 0.000000 1760682184.4251
MEM 119.667969 1760682184.5400
CHLD 40864 49.417969 1760682184.5512
CHLD 40865 0.000000 1760682184.5512
MEM 119.667969 1760682184.6616
CHLD 40864 49.417969 1760682184.6723
CHLD 40865 0.000000 1760682184.6724
MEM 119.667969 1760682184.7852
CHLD 40864 49.417969 1760682184.7967
CHLD 40865 0.000000 1760682184.7968
MEM 119.667969 1760682184.9086
CHLD 40864 49.417969 1760682184.9196
CHLD 40865 0.000000 1760682184.9196
MEM 119.683594 1760682185.0426
CHLD 40864 49.433594 1760682185.0545
CHLD 40865 0.000000 1760682185.0545
MEM 119.683594 1760682185.1755
CHLD 40864 49.433594 1760682185.1857
CHLD 40865 0.000000 1760682185.1858
MEM 119.683594 1760682185.2982
CHLD 40864 49.433594 1760682185.3092
CHLD 40865 0.000000 1760682185.3092
MEM 119.683594 1760682185.4219
CHLD 40864 49.433594 1760682185.4329
CHLD 40865 0.000000 1760682185.4329
MEM 119.683594 1760682185.5466
CHLD 40864 49.433594 1760682185.5595
CHLD 40865 0.000000 1760682185.5595
